Account, Parent, Alias: Default, Valid For Consolidations, Data Storage, Two Pass Calculation, Description, Formula, UDA, Smart List, Data Type, Account Type, Time Balance, Skip Value, Exchange Rate Type, Variance Reporting, Source Plan Type, Plan Type (Plan1), Aggregation (Plan1)
AVD40206, AVD402, 折旧费用合计, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AVD4020601, AVD40206, 已有资产折旧_自有, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
AVD4020602, AVD40206, 新增资产折旧_自有, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
AVD4020603, AVD40206, 大搜狐分摊折旧, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, +
AVD4020604, AVD40206, 资产折旧_转入, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, +
AVD4020605, AVD40206, 折旧费用_部门调整, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, +
AVD40207, AVD402, 折旧费用合计_待分摊, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AVD4020701, AVD40207, 已有资产折旧_待分摊, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, +
AVD4020702, AVD40207, 新增资产折旧_待分摊, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, +
AVD4020703, AVD40207, 折旧调整_待分摊, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, +
AVD403, AVD4, 带宽工作科目, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AVD40301, AVD403, 带宽分摊比率, false, store, false, , , , , percentage, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AVD40302, AVD403, 带宽辅助编制科目, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AVD4030201, AVD40302, 带宽标识科目, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AVD4030202, AVD40302, 数量, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AVD403020201, AVD4030202, 数量_committed, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, +
AVD403020202, AVD4030202, 数量_uncommitted, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, +
