Account, Parent, Alias: Default, Valid For Consolidations, Data Storage, Two Pass Calculation, Description, Formula, UDA, Smart List, Data Type, Account Type, Time Balance, Skip Value, Exchange Rate Type, Variance Reporting, Source Plan Type, Plan Type (Plan1), Aggregation (Plan1)
ASH40206, ASH402, 折旧费用合计_待分摊, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
ASH4020601, ASH40206, 已有资产折旧_待分摊, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
ASH4020602, ASH40206, 新增资产折旧_待分摊, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
ASH4020603, ASH40206, 折旧费用_整体调整, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, +
ASH40207, ASH402, 折旧费用合计_部门, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
ASH4020701, ASH40207, 已有资产折旧_自有, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
ASH4020702, ASH40207, 资产折旧_转入, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
ASH4020703, ASH40207, 新增资产折旧_自有, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
ASH4020704, ASH40207, 折旧费用_部门调整, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, +
ASH403, ASH4, 带宽工作科目, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, ~
ASH40301, ASH403, 带宽分摊比率, false, store, false, , , , , percentage, saved assumption, flow, none, none, non-expense, Plan1, true, ~
ASH40302, ASH403, 带宽辅助编制科目, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, ~
ASH4030201, ASH40302, 带宽标识科目, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, ~
ASH4030202, ASH40302, 数量, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, ~
ASH403020201, ASH4030202, 数量_committed, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, +
ASH403020202, ASH4030202, 数量_uncommitted, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, +
ASH4030203, ASH40302, 单价, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, ~
ASH4030204, ASH40302, 金额合计, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, ~
ASH403020401, ASH4030204, 金额_committed, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, +
ASH403020402, ASH4030204, 金额_uncommitted, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, +
ASH403020403, ASH4030204, 业务调整金额, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, +
ASH4030205, ASH40302, 分摊前带宽费用合计, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, ~
ASH4030204, ASH4030205, 金额合计, false, shared, false, , , , , currency, expense, flow, none, none, expense, , true, +
ASH403020598, ASH4030205, 带宽费用_VAT抵减, false, store, false, , , , , unspecified, expense, flow, none, none, expense, Plan1, true, +
ASH403020599, ASH4030205, 带宽费用_整体调整, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, +
ASH4030206, ASH40302, 分摊带宽费用合计, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, ~
ASH403020601, ASH4030206, 大搜狐分摊带宽费用, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, +
ASH403020602, ASH4030206, 板块外分摊带宽费用, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, +
ASH40303, ASH403, 直接成本（17173成本）, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, ~
ASH404, ASH4, 公摊费用汇总, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, ~
ASH40401, ASH404, 公摊费用小计, false, store, false, , , DGPT, , currency, expense, flow, none, none, expense, Plan1, true, +
ASH103060101, ASH404, 公司分摊带宽费用, false, shared, false, , , AE2603, , currency, expense, flow, none, none, expense, , true, +
ASH1030803, ASH404, 软件类折旧费用, false, shared, false, , , AE2204, , currency, expense, flow, none, none, expense, , true, +
ASH1030802, ASH404, 服务器类折旧费用, false, shared, false, , , AE2604, , currency, expense, flow, none, none, expense, , true, +
ASH1030801, ASH404, 员工类折旧费用, false, shared, false, , , AE2100_Budget, , currency, expense, flow, none, none, expense, , true, +
ASH40498, ASH404, 公摊费用_VAT抵减, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, +
ASH40499, ASH404, 公摊费用_整体调整, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, +
ASH405, ASH4, 搜狐转入公摊费用, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, ~
ASH406, ASH4, 公摊费用分摊科目, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, ~
ASH40601, ASH406, 是否参与公摊费用分摊, false, store, false, , , , YorN, enumeration, saved assumption, flow, none, none, non-expense, Plan1, true, ~
ASH40602, ASH406, 参与公摊费用分摊人数, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, ~
ASH40603, ASH406, 公摊费用分摊比率, false, store, false, , , , , percentage, saved assumption, flow, none, none, non-expense, Plan1, true, ~
ASH408, ASH4, 汇率, false, store, false, , , , , currency, saved assumption, balance, missing and zeros, none, non-expense, Plan1, true, ~
